Proband Nr.;Jitter (local);Jitter (local,absolut);Jitter (rap);Jitter (ppq5);Jitter (ddp);Shimmer (local);Shimmer (local,db);Shimmer (apq3);Shimmer (apq5);Shimmer (apq11);Shimmer (dda);AC;NTH;HTN;Median pitch;Mean pitch;Standard deviation;Minimum pitch;Maximum pitch;Number of pulses;Number of periods;Mean period;Standard deviation of period;Fraction of locally unvoiced frames;Number of voice breaks;Degree of voice breaks;
1;0.1350000;0.0000073;0.0670000;0.0780000;0.2020000;20330000;0.1780000;10740000;13360000;15760000;32230000;0.9960500;0.0039670;242040000;1862660000;1863000000;0.8590000;1845020000;1878800000;1830000000;1820000000;0.0053680;0.0000255;0.0000000;0.0000000;0.0000000;
1;0.1430000;0.0000071;0.0730000;0.0810000;0.2190000;12360000;0.1070000;0.6120000;0.9040000;0.8940000;18350000;0.9984710;0.0015310;287290000;2005770000;2004770000;0.7550000;1986650000;2022140000;1940000000;1930000000;0.0049880;0.0000198;0.0000000;0.0000000;0.0000000;
1;0.1620000;0.0000080;0.0870000;0.0890000;0.2600000;13380000;0.1170000;0.6300000;0.9480000;10170000;18910000;0.9980210;0.0019840;273490000;2028680000;2024250000;18600000;1972200000;2060600000;1980000000;1970000000;0.0049402;0.0000460;0.0000000;0.0000000;0.0000000;
1;0.1400000;0.0000069;0.0750000;0.0890000;0.2240000;10860000;0.0940000;0.5560000;0.7470000;0.8230000;16670000;0.9991540;0.0008470;321140000;2040270000;2040900000;0.9310000;2023240000;2061820000;2000000000;1990000000;0.0048999;0.0000229;0.0000000;0.0000000;0.0000000;
1;0.1500000;0.0000072;0.0800000;0.0970000;0.2400000;10490000;0.0910000;0.5330000;0.6980000;0.7770000;15990000;0.9992950;0.0007060;328160000;2075190000;2074680000;0.8800000;2054070000;2099270000;2040000000;2030000000;0.0048196;0.0000217;0.0000000;0.0000000;0.0000000;
1;0.2080000;0.0000092;0.0770000;0.0950000;0.2300000;12410000;0.1090000;0.4870000;0.7150000;15680000;14610000;0.9983780;0.0016310;309600000;2248120000;2264350000;62240000;2184550000;2435230000;2210000000;2200000000;0.0044164;0.0001199;0.0000000;0.0000000;0.0000000;
2;11370000;0.0001025;0.6430000;0.5060000;19290000;69930000;0.6200000;33940000;41560000;61890000;101830000;0.9336910;0.0783600;131960000;1113180000;1110540000;43010000;979140000;1190370000;1100000000;1090000000;0.0090137;0.0003701;0.0000000;0.0000000;0.0000000;
2;0.6060000;0.0000652;0.1620000;0.2690000;0.4860000;53510000;0.4810000;24440000;32950000;45680000;73330000;0.9627270;0.0404640;159130000;934830000;929350000;36590000;803320000;988760000;920000000;910000000;0.0107676;0.0004511;0.0000000;0.0000000;0.0000000;
2;0.7650000;0.0000815;0.2040000;0.3110000;0.6110000;53140000;0.4610000;24920000;34690000;59920000;74770000;0.9405270;0.0655360;129540000;932390000;938110000;36860000;886290000;1045260000;930000000;920000000;0.0106567;0.0004114;0.0000000;0.0000000;0.0000000;
2;0.3740000;0.0000384;0.1590000;0.2150000;0.4770000;56340000;0.4990000;26270000;32400000;66940000;78820000;0.9826950;0.0177750;193610000;972640000;972740000;0.9600000;951650000;994240000;960000000;950000000;0.0102798;0.0001044;0.0000000;0.0000000;0.0000000;
2;0.5430000;0.0000548;0.2840000;0.3200000;0.8530000;56000000;0.5060000;30840000;33270000;46790000;92520000;0.9737830;0.0274770;181510000;990530000;990080000;11430000;970880000;1022470000;980000000;970000000;0.0100991;0.0001207;0.0000000;0.0000000;0.0000000;
2;0.3360000;0.0000346;0.1220000;0.1940000;0.3660000;35380000;0.3030000;13780000;22500000;42680000;41350000;0.9868350;0.0134600;203970000;969480000;969790000;15410000;941200000;1003550000;960000000;950000000;0.0103100;0.0001660;0.0000000;0.0000000;0.0000000;
3;0.613;0.00002928;0.247;0.23;0.741;3653;0.479;26665;43648;3133;5191;0.958534;0.050446;17423;210924;208836;11116;162298;229222;241;240;0.004779258;0.000253088;5691;0;0;
3;0.601;0.000031034;0.316;0.339;0.947;7492;0.681;3729;4581;6352;11188;0.973513;0.027678;16.77;202463;193859;28.38;99593;214486;215;213;0.005160662;0.001021602;0;0;0;
3;0.382;0.000017137;0.169;0.203;0.508;6905;0.648;2728;3968;33756;8183;0.980879;0.020772;43604;221165;222804;6486;205108;237431;188;187;0.004489787;0.000133868;0;0;0;
3;1304;0.000065226;0.589;0.473;1766;7492;0.763;3021;4152;7474;9064;0.922218;0.102288;13377;206306;199885;14.41;172691;214282;54;52;0.005003775;0.00039687;24.39;1;6745;
3;3326;0.000180944;1666;1694;4999;12472;1181;4437;5136;10006;13311;0.86113;0.202049;9617;182.35;183816;11819;157271;202277;50;48;0.005439812;0.000469017;41667;1;43226;
3;1286;0.000066973;0.467;0.516;43556;6749;0.571;2478;3966;6418;7435;0.934885;0.073248;19329;195656;192845;8201;173927;201277;31;30;0.00520937;0.000277648;0;0;0;
3;1048;0.000057891;0.406;0.443;1217;8027;0.731;4301;4475;7887;12902;0.940723;0.069719;13091;184802;181114;8314;160762;188531;39;38;0.005523019;0.000244267;4545;0;0;
